Show,Week,Theater,This Week Gross,Potential Gross,Diff $,Avg Ticket,Top Ticket,Seats Sold,Seats in Theatre,Performances,Previews,% Cap,Diff % cap,Genre,Number of Awards,Awards,Season,Month
Aladdin,2025-02-16,New Amsterdam Theatre,"$1,264,567.20",,"$188,370.80",$97.01,$215.50,"13,035","1,727",8,0,94.35%,0.97%,Original,23,1,Winter,2
A Wonderful World: The Louis Armstrong Musical,2025-02-16,Studio 54,"$539,853.50",,"$74,985.50",$90.40,$287.00,"5,972",997,8,0,74.87%,2.95%,Original,4,1,Winter,2
& Juliet,2025-02-16,Stephen Sondheim Theatre,"$1,080,013.40",,"$144,459.20",$138.43,$324.00,"7,802","1,026",8,0,95.05%,-2.90%,Original,22,1,Winter,2
Wicked,2025-02-09,Gershwin Theatre,"$2,324,693.00",,"$4,958.50",$150.88,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,2
The Outsiders,2025-02-09,Bernard B. Jacobs Theatre,"$1,234,295.32",,"-$103,887.13",$149.92,$497.00,"8,233","1,024",8,0,100.50%,-0.70%,Original,31,1,Winter,2
The Lion King,2025-02-09,Minskoff Theatre,"$1,602,482.65",,"-$109,638.15",$127.45,$257.00,"12,573","1,696",8,0,92.67%,-3.92%,Original,32,1,Winter,2
The Great Gatsby,2025-02-09,Broadway Theatre,"$1,030,676.75",,"-$79,804.70",$96.38,$424.00,"10,694","1,485",8,0,90.02%,-3.08%,Original,7,1,Winter,2
The Book of Mormon,2025-02-09,Eugene O'Neill Theatre,"$885,932.94",,"-$55,387.77",$108.49,$0.00,"8,166","1,066",8,0,95.76%,-2.99%,Original,36,1,Winter,2
Sunset Boulevard,2025-02-09,St. James Theatre,"$1,306,182.60",,"-$125,300.80",$111.28,$0.00,"11,738","1,606",8,0,91.35%,-4.66%,Revival,24,1,Winter,2
SIX: The Musical,2025-02-09,Lena Horne Theatre,"$749,127.74",,"-$15,254.30",$105.50,$269.00,"7,101","1,031",8,0,86.09%,-1.97%,One Act,28,1,Winter,2
Romeo and Juliet,2025-02-09,Circle in the Square Theatre,"$1,025,290.00",,"$19,919.00",$156.15,$574.50,"6,566",794,8,0,103.37%,0.79%,Revival,7,1,Winter,2
Redwood,2025-02-09,Nederlander Theatre,"$856,602.73",,"$174,344.86",$107.94,$326.00,"7,936","1,153",0,7,98.33%,8.78%,One Act,3,1,Winter,2
"Oh, Mary!",2025-02-09,Lyceum Theatre,"$760,484.97",,"-$52,787.27",$114.32,$331.00,"6,652",895,8,0,92.91%,-3.29%,Comedy,9,1,Winter,2
Moulin Rouge! The Musical,2025-02-09,Al Hirschfeld Theatre,"$970,079.15",,"-$15,667.95",$100.39,$0.00,"9,663","1,300",8,0,92.91%,-1.74%,Original,24,1,Winter,2
MJ The Musical,2025-02-09,Neil Simon Theatre,"$1,176,499.10",,"-$63,505.70",$111.80,$329.00,"10,523","1,387",8,0,94.84%,1.69%,Original,30,1,Winter,2
Maybe Happy Ending,2025-02-09,Belasco Theatre,"$851,234.50",,"-$43,755.85",$111.92,$297.00,"7,606",988,8,0,96.23%,-2.87%,One Act,34,1,Winter,2
Hell's Kitchen,2025-02-09,Sam S. Shubert Theatre,"$1,077,434.08",,"-$13,496.30",$94.30,$323.00,"11,426","1,457",8,0,98.03%,1.68%,Original,26,1,Winter,2
Harry Potter and the Cursed Child,2025-02-09,Lyric Theatre,"$972,333.40",,"-$70,068.70",$83.68,$206.00,"11,619","1,579",8,0,91.98%,-0.48%,Original,33,1,Winter,2
Hamilton,2025-02-09,Richard Rodgers Theatre,"$1,532,750.80",,"-$122,328.50",$151.97,$325.00,"10,086","1,324",8,0,95.22%,-0.63%,Original,46,1,Winter,2
Hadestown,2025-02-09,Walter Kerr Theatre,"$706,581.50",,"-$27,934.50",$97.00,$0.00,"7,284",918,8,0,99.18%,0.43%,Original,39,1,Winter,2
Gypsy,2025-02-09,Majestic Theatre,"$1,564,610.62",,"-$125,593.22",$127.00,$347.00,"12,320","1,590",8,0,96.86%,-2.27%,Revival,19,1,Winter,2
Eureka Day,2025-02-09,Samuel J. Friedman Theatre,"$347,327.50",,"-$44,171.50",$83.23,$299.00,"4,173",643,8,0,81.12%,-7.10%,One Act,6,1,Winter,2
English,2025-02-09,Todd Haimes Theatre,"$380,766.00",,"-$19,885.00",$68.12,$277.00,"5,590",736,8,0,94.94%,1.24%,One Act,10,1,Winter,2
Death Becomes Her,2025-02-09,Lunt-Fontanne Theatre,"$1,261,687.75",,"-$61,459.50",$106.43,$275.00,"11,855","1,491",8,0,99.39%,-0.39%,Musical,33,1,Winter,2
Chicago,2025-02-09,Ambassador Theatre,"$815,091.36",,"-$35,467.19",$101.02,$267.00,"8,069","1,080",8,0,93.39%,-2.71%,Revival,25,1,Winter,2
Cabaret,2025-02-09,August Wilson Theatre,"$1,063,244.80",,"$69,983.20",$129.90,$0.00,"8,185","1,070",8,0,95.62%,4.37%,Revival,22,1,Winter,2
All In: Comedy About Love,2025-02-09,Hudson Theatre,"$1,163,537.40",,"-$917,169.60",$150.25,$425.00,"7,744",968,8,0,100.00%,0.00%,Comedy,0,0,Winter,2
Aladdin,2025-02-09,New Amsterdam Theatre,"$1,076,196.40",,"-$92,129.10",$83.42,$227.50,"12,901","1,727",8,0,93.38%,-2.41%,Original,23,1,Winter,2
A Wonderful World: The Louis Armstrong Musical,2025-02-09,Studio 54,"$464,868.00",,"-$1,446.50",$81.04,$287.00,"5,736",997,8,0,71.92%,5.16%,Original,4,1,Winter,2
& Juliet,2025-02-09,Stephen Sondheim Theatre,"$935,554.20",,"-$64,773.50",$116.36,$324.00,"8,040","1,026",8,0,97.95%,-0.43%,Original,22,1,Winter,2
Wicked,2025-02-02,Gershwin Theatre,"$2,319,734.50",,"-$96,146.50",$150.55,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,2
The Outsiders,2025-02-02,Bernard B. Jacobs Theatre,"$1,338,182.45",,"$201,710.04",$161.42,$497.00,"8,290","1,024",8,0,101.20%,-0.22%,Original,31,1,Winter,2
The Lion King,2025-02-02,Minskoff Theatre,"$1,712,120.80",,"$23,619.60",$130.65,$259.00,"13,105","1,696",8,0,96.59%,2.27%,Original,32,1,Winter,2
The Great Gatsby,2025-02-02,Broadway Theatre,"$1,110,481.45",,"-$22,662.22",$100.41,$374.00,"11,060","1,485",8,0,93.10%,4.36%,Original,7,1,Winter,2
The Book of Mormon,2025-02-02,Eugene O'Neill Theatre,"$941,320.71",,$536.98,$111.78,$0.00,"8,421","1,066",8,0,98.75%,1.87%,Original,36,1,Winter,2
Sunset Boulevard,2025-02-02,St. James Theatre,"$1,431,483.40",,"-$14,475.20",$116.03,$0.00,"12,337","1,606",8,0,96.01%,2.22%,Revival,24,1,Winter,2
SIX: The Musical,2025-02-02,Lena Horne Theatre,"$764,382.04",,"-$28,786.88",$105.24,$259.00,"7,263","1,031",8,0,88.06%,-1.73%,One Act,28,1,Winter,2
Romeo and Juliet,2025-02-02,Circle in the Square Theatre,"$1,005,371.00",,"$37,973.00",$154.29,$574.50,"6,516",794,8,0,102.58%,0.88%,Revival,7,1,Winter,2
Redwood,2025-02-02,Nederlander Theatre,"$682,257.87",,"$285,141.07",$110.13,$374.00,"6,195","1,153",0,6,89.55%,-10.45%,One Act,3,1,Winter,2
"Oh, Mary!",2025-02-02,Lyceum Theatre,"$813,272.24",,"-$112,729.88",$118.07,$331.00,"6,888",895,8,0,96.20%,-1.87%,Comedy,9,1,Winter,2
Moulin Rouge! The Musical,2025-02-02,Al Hirschfeld Theatre,"$985,747.10",,"$71,406.50",$100.14,$0.00,"9,844","1,300",8,0,94.65%,6.39%,Original,24,1,Winter,2
MJ The Musical,2025-02-02,Neil Simon Theatre,"$1,240,004.80",,"$84,416.70",$119.97,$329.00,"10,336","1,387",8,0,93.15%,7.25%,Original,30,1,Winter,2
Maybe Happy Ending,2025-02-02,Belasco Theatre,"$894,990.35",,"$34,960.55",$114.26,$297.00,"7,833",988,8,0,99.10%,3.88%,One Act,34,1,Winter,2
Left on Tenth,2025-02-02,James Earl Jones Theatre,"$500,318.60",,"$57,507.54",$92.62,$267.00,"5,402","1,065",8,0,63.40%,7.91%,One Act,0,0,Winter,2
Hell's Kitchen,2025-02-02,Sam S. Shubert Theatre,"$1,090,930.38",,"$59,784.43",$97.14,$297.00,"11,231","1,457",8,0,96.35%,8.50%,Original,26,1,Winter,2
Harry Potter and the Cursed Child,2025-02-02,Lyric Theatre,"$1,042,402.10",,"$21,055.30",$86.88,$206.00,"11,998","1,622",8,0,92.46%,2.23%,Original,33,1,Winter,2
Hamilton,2025-02-02,Richard Rodgers Theatre,"$1,655,079.30",,"$45,959.40",$163.03,$325.00,"10,152","1,324",8,0,95.85%,3.04%,Original,46,1,Winter,2
Hadestown,2025-02-02,Walter Kerr Theatre,"$734,516.00",,"-$18,192.50",$101.28,$0.00,"7,252",918,8,0,98.75%,0.98%,Original,39,1,Winter,2
Gypsy,2025-02-02,Majestic Theatre,"$1,690,203.84",,"-$91,509.92",$134.05,$347.00,"12,609","1,590",8,0,99.13%,0.77%,Revival,19,1,Winter,2
Eureka Day,2025-02-02,Samuel J. Friedman Theatre,"$391,499.00",,"$66,659.00",$86.27,$299.00,"4,538",643,8,0,88.22%,12.70%,One Act,6,1,Winter,2
English,2025-02-02,Todd Haimes Theatre,"$400,651.00",,"$136,171.40",$72.62,$277.00,"5,517",736,8,0,93.70%,12.98%,One Act,10,1,Winter,2
Death Becomes Her,2025-02-02,Lunt-Fontanne Theatre,"$1,323,147.25",,"$118,086.95",$111.17,$275.00,"11,902","1,491",8,0,99.78%,8.73%,Musical,33,1,Winter,2
Cult of Love,2025-02-02,Helen Hayes Theater,"$572,008.43",,"$112,078.92",$126.08,$346.00,"4,537",581,8,0,97.61%,1.59%,One Act,4,1,Winter,2
Chicago,2025-02-02,Ambassador Theatre,"$850,558.55",,"-$2,241.45",$102.44,$267.00,"8,303","1,080",8,0,96.10%,1.01%,Revival,25,1,Winter,2
Cabaret,2025-02-02,August Wilson Theatre,"$993,261.60",,"-$91,607.80",$127.16,$0.00,"7,811","1,070",8,0,91.25%,-4.89%,Revival,22,1,Winter,2
All In: Comedy About Love,2025-02-02,Hudson Theatre,"$2,080,707.00",,"$656,108.40",$268.69,$425.00,"7,744",968,8,0,100.00%,0.00%,Comedy,0,0,Winter,2
Aladdin,2025-02-02,New Amsterdam Theatre,"$1,168,325.50",,"$22,501.50",$88.28,$227.50,"13,234","1,727",8,0,95.79%,1.31%,Original,23,1,Winter,2
A Wonderful World: The Louis Armstrong Musical,2025-02-02,Studio 54,"$466,314.50",,"-$13,033.50",$87.57,$287.00,"5,325",997,8,0,66.76%,1.49%,Original,4,1,Winter,2
& Juliet,2025-02-02,Stephen Sondheim Theatre,"$1,000,327.70",,"$40,504.10",$123.88,$324.00,"8,075","1,026",8,0,98.38%,2.62%,Original,22,1,Winter,2
Wicked,2025-01-26,Gershwin Theatre,"$2,415,881.00",,"-$186,780.00",$156.79,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,1
The Outsiders,2025-01-26,Bernard B. Jacobs Theatre,"$1,136,472.41",,"-$415,943.04",$156.32,$497.00,"7,270","1,024",7,0,101.42%,-1.08%,Original,31,1,Winter,1
The Lion King,2025-01-26,Minskoff Theatre,"$1,688,501.20",,"-$59,784.55",$131.95,$239.00,"12,797","1,696",8,0,94.32%,2.36%,Original,32,1,Winter,1
The Great Gatsby,2025-01-26,Broadway Theatre,"$1,133,143.67",,"-$722,923.83",$107.49,$424.00,"10,542","1,485",8,0,88.74%,-5.98%,Original,7,1,Winter,1
The Book of Mormon,2025-01-26,Eugene O'Neill Theatre,"$940,783.73",,"-$82,354.99",$113.87,$0.00,"8,262","1,066",8,0,96.88%,0.97%,Original,36,1,Winter,1
Sunset Boulevard,2025-01-26,St. James Theatre,"$1,445,958.60",,"-$155,065.40",$119.98,$0.00,"12,052","1,606",8,0,93.79%,-3.03%,Revival,24,1,Winter,1
SIX: The Musical,2025-01-26,Lena Horne Theatre,"$793,168.92",,"-$49,175.58",$107.10,$269.00,"7,406","1,031",8,0,89.79%,4.14%,One Act,28,1,Winter,1
Romeo and Juliet,2025-01-26,Circle in the Square Theatre,"$967,398.00",,"-$65,225.00",$149.75,$574.50,"6,460",794,8,0,101.70%,-1.24%,Revival,7,1,Winter,1
Redwood,2025-01-26,Nederlander Theatre,"$397,116.80",,$0.00,$172.21,$257.00,"2,306","1,153",0,2,100.00%,0.00%,One Act,3,1,Winter,1
"Oh, Mary!",2025-01-26,Lyceum Theatre,"$926,002.12",,"-$327,868.88",$131.87,$331.00,"7,022",895,8,0,98.07%,-1.93%,Comedy,9,1,Winter,1
Moulin Rouge! The Musical,2025-01-26,Al Hirschfeld Theatre,"$914,340.60",,"-$62,859.10",$99.61,$0.00,"9,179","1,300",8,0,88.26%,-4.60%,Original,24,1,Winter,1
MJ The Musical,2025-01-26,Neil Simon Theatre,"$1,155,588.10",,"-$55,227.10",$121.25,$279.00,"9,531","1,387",8,0,85.90%,0.45%,Original,30,1,Winter,1
Maybe Happy Ending,2025-01-26,Belasco Theatre,"$860,029.80",,"-$30,432.80",$114.27,$297.00,"7,526",988,8,0,95.22%,-0.72%,One Act,34,1,Winter,1
Left on Tenth,2025-01-26,James Earl Jones Theatre,"$442,811.06",,"$30,272.26",$93.66,$267.00,"4,728","1,065",8,0,55.49%,5.13%,One Act,0,0,Winter,1
Hell's Kitchen,2025-01-26,Sam S. Shubert Theatre,"$1,031,145.95",,"-$127,961.67",$100.70,$297.00,"10,240","1,457",8,0,87.85%,1.59%,Original,26,1,Winter,1
Harry Potter and the Cursed Child,2025-01-26,Lyric Theatre,"$1,021,346.80",,"-$82,324.90",$87.23,$206.00,"11,708","1,622",8,0,90.23%,9.59%,Original,33,1,Winter,1
Hamilton,2025-01-26,Richard Rodgers Theatre,"$1,609,119.90",,"-$291,689.55",$163.69,$329.00,"9,830","1,324",8,0,92.81%,-1.57%,Original,46,1,Winter,1
Hadestown,2025-01-26,Walter Kerr Theatre,"$752,708.50",,"-$93,322.50",$104.83,$0.00,"7,180",918,8,0,97.77%,-0.73%,Original,39,1,Winter,1
Gypsy,2025-01-26,Majestic Theatre,"$1,781,713.76",,"-$110,055.64",$142.41,$423.00,"12,511","1,590",8,0,98.36%,4.79%,Revival,19,1,Winter,1
Eureka Day,2025-01-26,Samuel J. Friedman Theatre,"$324,840.00",,"-$19,338.00",$83.61,$299.00,"3,885",643,8,0,75.52%,-11.86%,One Act,6,1,Winter,1
English,2025-01-26,Todd Haimes Theatre,"$264,479.60",,"$13,447.20",$55.64,$277.00,"4,753",736,5,3,80.72%,-7.07%,One Act,10,1,Winter,1
Death Becomes Her,2025-01-26,Lunt-Fontanne Theatre,"$1,205,060.30",,"-$111,120.50",$110.95,$325.00,"10,861","1,491",8,0,91.05%,-3.57%,Musical,33,1,Winter,1
Cult of Love,2025-01-26,Helen Hayes Theater,"$459,929.51",,"$31,960.51",$103.05,$296.00,"4,463",581,8,0,96.02%,6.43%,One Act,4,1,Winter,1
Chicago,2025-01-26,Ambassador Theatre,"$852,800.00",,"$200,311.42",$103.80,$267.00,"8,216","1,080",8,0,95.09%,18.69%,Revival,25,1,Winter,1
Cabaret,2025-01-26,August Wilson Theatre,"$1,084,869.40",,"$1,670.50",$131.82,$0.00,"8,230","1,070",8,0,96.14%,5.95%,Revival,22,1,Winter,1
All In: Comedy About Love,2025-01-26,Hudson Theatre,"$1,424,598.60",,"-$104,586.40",$183.96,$425.00,"7,744",968,8,0,100.00%,0.00%,Comedy,0,0,Winter,1
Aladdin,2025-01-26,New Amsterdam Theatre,"$1,145,824.00",,"-$29,138.20",$87.78,$227.50,"13,054","1,727",8,0,94.48%,1.41%,Original,23,1,Winter,1
A Wonderful World: The Louis Armstrong Musical,2025-01-26,Studio 54,"$479,348.00",,"-$80,006.50",$92.08,$287.00,"5,206",997,8,0,65.27%,-10.24%,Original,4,1,Winter,1
& Juliet,2025-01-26,Stephen Sondheim Theatre,"$959,823.60",,"-$84,932.40",$122.11,$324.00,"7,860","1,026",8,0,95.76%,2.38%,Original,22,1,Winter,1
Wicked,2025-01-19,Gershwin Theatre,"$2,602,661.00",,"$177,005.00",$168.92,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,1
The Outsiders,2025-01-19,Bernard B. Jacobs Theatre,"$1,552,415.45",,"$97,211.95",$184.88,$497.00,"8,397","1,024",8,0,102.50%,-0.01%,Original,31,1,Winter,1
The Lion King,2025-01-19,Minskoff Theatre,"$1,748,285.75",,"-$5,939.00",$140.12,$239.00,"12,477","1,696",8,0,91.96%,-4.11%,Original,32,1,Winter,1
The Great Gatsby,2025-01-19,Broadway Theatre,"$1,856,067.50",,"$312,213.77",$164.94,$624.00,"11,253","1,485",8,0,94.72%,2.33%,Original,7,1,Winter,1
The Book of Mormon,2025-01-19,Eugene O'Neill Theatre,"$1,023,138.72",,"$41,868.34",$125.09,$0.00,"8,179","1,066",8,0,95.91%,0.27%,Original,36,1,Winter,1
Sunset Boulevard,2025-01-19,St. James Theatre,"$1,601,024.00",,"$745,926.50",$128.68,$0.00,"12,442","1,606",8,0,96.82%,6.33%,Revival,24,1,Winter,1
SIX: The Musical,2025-01-19,Lena Horne Theatre,"$842,344.50",,"$38,048.75",$119.24,$269.00,"7,064","1,031",8,0,85.65%,-5.88%,One Act,28,1,Winter,1
Romeo and Juliet,2025-01-19,Circle in the Square Theatre,"$1,032,623.00",,"-$34,453.50",$157.92,$574.50,"6,539",794,8,0,102.94%,0.01%,Revival,7,1,Winter,1
Our Town,2025-01-19,Ethel Barrymore Theatre,"$1,084,023.95",,"$128,404.20",$134.51,$397.00,"8,059","1,060",8,0,95.04%,3.44%,One Act,3,1,Winter,1
"Oh, Mary!",2025-01-19,Lyceum Theatre,"$1,253,871.00",,"$5,600.82",$175.12,$371.00,"7,160",895,8,0,100.00%,0.00%,Comedy,9,1,Winter,1
Moulin Rouge! The Musical,2025-01-19,Al Hirschfeld Theatre,"$977,199.70",,"$70,780.55",$101.19,$0.00,"9,657","1,300",8,0,92.86%,-0.44%,Original,24,1,Winter,1
MJ The Musical,2025-01-19,Neil Simon Theatre,"$1,210,815.20",,"$74,468.10",$127.71,$279.00,"9,481","1,387",8,0,85.45%,3.91%,Original,30,1,Winter,1
Maybe Happy Ending,2025-01-19,Belasco Theatre,"$890,462.60",,"$13,594.10",$117.43,$297.00,"7,583",988,8,0,95.94%,-1.44%,One Act,34,1,Winter,1
Left on Tenth,2025-01-19,James Earl Jones Theatre,"$412,538.80",,"-$21,626.90",$96.14,$267.00,"4,291","1,065",8,0,50.36%,-2.25%,One Act,0,0,Winter,1
Hell's Kitchen,2025-01-19,Sam S. Shubert Theatre,"$1,159,107.62",,"$79,850.27",$115.28,$323.00,"10,055","1,457",8,0,86.26%,-0.27%,Original,26,1,Winter,1
Harry Potter and the Cursed Child,2025-01-19,Lyric Theatre,"$1,103,671.70",,"$59,046.40",$105.47,$256.00,"10,464","1,622",8,0,80.64%,-9.93%,Original,33,1,Winter,1
Hamilton,2025-01-19,Richard Rodgers Theatre,"$1,900,809.45",,"$45,236.80",$190.14,$329.00,"9,997","1,324",8,0,94.38%,-5.46%,Original,46,1,Winter,1
Hadestown,2025-01-19,Walter Kerr Theatre,"$846,031.00",,"-$149,335.00",$116.95,$0.00,"7,234",918,8,0,98.50%,-2.73%,Original,39,1,Winter,1
Gypsy,2025-01-19,Majestic Theatre,"$1,891,769.40",,"$142,842.30",$158.95,$423.00,"11,902","1,590",8,0,93.57%,-4.09%,Revival,19,1,Winter,1
Eureka Day,2025-01-19,Samuel J. Friedman Theatre,"$344,178.00",,"-$17,228.00",$87.51,$299.00,"3,933",643,7,0,87.38%,-0.31%,One Act,6,1,Winter,1
English,2025-01-19,Todd Haimes Theatre,"$251,032.40",,"$12,415.40",$48.56,$262.00,"5,169",736,0,8,87.79%,3.05%,One Act,10,1,Winter,1
Death Becomes Her,2025-01-19,Lunt-Fontanne Theatre,"$1,316,180.80",,"$297,549.85",$116.62,$325.00,"11,286","1,491",8,0,94.62%,-1.10%,Musical,33,1,Winter,1
Cult of Love,2025-01-19,Helen Hayes Theater,"$427,969.00",,"$48,400.00",$102.78,$296.00,"4,164",581,8,0,89.59%,6.37%,One Act,4,1,Winter,1
Chicago,2025-01-19,Ambassador Theatre,"$652,488.58",,"$33,616.23",$98.85,$237.00,"6,601","1,080",8,0,76.40%,2.82%,Revival,25,1,Winter,1
Cabaret,2025-01-19,August Wilson Theatre,"$1,083,198.90",,"-$46,671.40",$140.31,$0.00,"7,720","1,070",8,0,90.19%,-5.50%,Revival,22,1,Winter,1
All In: Comedy About Love,2025-01-19,Hudson Theatre,"$1,529,185.00",,"-$140,491.00",$197.47,$425.00,"7,744",968,8,0,100.00%,0.00%,Comedy,0,0,Winter,1
Aladdin,2025-01-19,New Amsterdam Theatre,"$1,174,962.20",,"$27,090.20",$91.37,$215.50,"12,859","1,727",8,0,93.07%,-0.26%,Original,23,1,Winter,1
A Wonderful World: The Louis Armstrong Musical,2025-01-19,Studio 54,"$559,354.50",,"$55,852.00",$92.87,$287.00,"6,023",997,8,0,75.51%,10.23%,Original,4,1,Winter,1
& Juliet,2025-01-19,Stephen Sondheim Theatre,"$1,044,756.00",,"$122,144.40",$136.30,$378.00,"7,665","1,026",8,0,93.38%,2.18%,Original,22,1,Winter,1
Wicked,2025-01-12,Gershwin Theatre,"$2,425,656.00",,"-$868,523.00",$157.43,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,1
The Outsiders,2025-01-12,Bernard B. Jacobs Theatre,"$1,455,203.50",,"-$436,951.10",$173.28,$497.00,"8,398","1,024",8,0,102.51%,0.12%,Original,31,1,Winter,1
The Lion King,2025-01-12,Minskoff Theatre,"$1,754,224.75",,"-$1,045,846.20",$134.58,$239.00,"13,035","1,696",8,0,96.07%,-3.16%,Original,32,1,Winter,1
The Great Gatsby,2025-01-12,Broadway Theatre,"$1,543,853.73",,"-$345,823.75",$140.66,$374.00,"10,976","1,485",8,0,92.39%,-7.61%,Original,7,1,Winter,1
The Book of Mormon,2025-01-12,Eugene O'Neill Theatre,"$981,270.38",,"-$189,072.17",$120.31,$0.00,"8,156","1,066",8,0,95.64%,-4.31%,Original,36,1,Winter,1
Sunset Boulevard,2025-01-12,St. James Theatre,"$855,097.50",,"-$738,770.00",$79.76,$0.00,"10,721","1,481",8,0,90.49%,-6.67%,Revival,24,1,Winter,1
Stereophonic,2025-01-12,John Golden Theatre,"$1,017,784.00",,"$52,610.50",$163.53,$377.00,"6,224",778,8,0,100.00%,0.00%,Original,37,1,Winter,1
SIX: The Musical,2025-01-12,Lena Horne Theatre,"$804,295.75",,"-$347,732.10",$106.54,$269.00,"7,549","1,031",8,0,91.53%,-6.55%,One Act,28,1,Winter,1
Romeo and Juliet,2025-01-12,Circle in the Square Theatre,"$1,067,076.50",,"-$191,065.50",$163.21,$477.00,"6,538",794,8,0,102.93%,-0.23%,Revival,7,1,Winter,1
Our Town,2025-01-12,Ethel Barrymore Theatre,"$955,619.75",,"$38,031.75",$123.02,$347.00,"7,768","1,060",8,0,91.60%,0.57%,One Act,3,1,Winter,1
"Oh, Mary!",2025-01-12,Lyceum Theatre,"$1,248,270.18",,"-$42,073.68",$174.34,$371.00,"7,160",895,8,0,100.00%,0.00%,Comedy,9,1,Winter,1
Moulin Rouge! The Musical,2025-01-12,Al Hirschfeld Theatre,"$906,419.15",,"-$455,457.25",$93.42,$0.00,"9,703","1,300",8,0,93.30%,-5.87%,Original,24,1,Winter,1
MJ The Musical,2025-01-12,Neil Simon Theatre,"$1,136,347.10",,"-$669,421.80",$125.59,$279.00,"9,048","1,387",8,0,81.54%,-12.03%,Original,30,1,Winter,1
Maybe Happy Ending,2025-01-12,Belasco Theatre,"$876,868.50",,"-$55,519.80",$113.92,$297.00,"7,697",988,8,0,97.38%,-1.35%,One Act,34,1,Winter,1
Left on Tenth,2025-01-12,James Earl Jones Theatre,"$434,165.70",,"$161,296.62",$96.87,$267.00,"4,482","1,065",8,0,52.61%,5.44%,One Act,0,0,Winter,1
Hell's Kitchen,2025-01-12,Sam S. Shubert Theatre,"$1,079,257.35",,"-$127,387.55",$107.01,$323.00,"10,086","1,457",8,0,86.53%,-7.40%,Original,26,1,Winter,1
Harry Potter and the Cursed Child,2025-01-12,Lyric Theatre,"$1,044,625.30",,"-$801,922.40",$88.89,$299.00,"11,752","1,622",8,0,90.57%,-8.73%,Original,33,1,Winter,1
Hamilton,2025-01-12,Richard Rodgers Theatre,"$1,855,572.65",,"-$524,324.15",$175.47,$329.00,"10,575","1,324",8,0,99.84%,-1.49%,Original,46,1,Winter,1
Hadestown,2025-01-12,Walter Kerr Theatre,"$995,366.00",,"-$105,127.00",$133.89,$0.00,"7,434",918,8,0,101.23%,-0.06%,Original,39,1,Winter,1
Gypsy,2025-01-12,Majestic Theatre,"$1,748,927.10",,"-$50,206.90",$140.79,$397.00,"12,422","1,590",8,0,97.66%,-0.03%,Revival,19,1,Winter,1
Eureka Day,2025-01-12,Samuel J. Friedman Theatre,"$361,406.00",,"$28,770.00",$80.12,$299.00,"4,511",643,8,0,87.69%,0.33%,One Act,6,1,Winter,1
English,2025-01-12,Todd Haimes Theatre,"$238,617.00",,"$107,189.60",$54.65,$262.00,"4,366",736,0,7,84.74%,-6.47%,One Act,10,1,Winter,1
Death Becomes Her,2025-01-12,Lunt-Fontanne Theatre,"$1,018,630.95",,"-$234,792.60",$118.96,$325.00,"8,563","1,491",6,0,95.72%,-1.05%,Musical,33,1,Winter,1
Cult of Love,2025-01-12,Helen Hayes Theater,"$379,569.00",,"$42,343.20",$98.13,$296.00,"3,868",581,8,0,83.22%,-1.26%,One Act,4,1,Winter,1
Chicago,2025-01-12,Ambassador Theatre,"$618,872.35",,"-$422,403.32",$97.35,$237.00,"6,357","1,080",8,0,73.58%,-11.66%,Revival,25,1,Winter,1
Cabaret,2025-01-12,August Wilson Theatre,"$1,129,870.30",,"-$282,833.90",$137.94,$0.00,"8,191","1,070",8,0,95.69%,-4.12%,Revival,22,1,Winter,1
All In: Comedy About Love,2025-01-12,Hudson Theatre,"$1,669,676.00",,"$162,610.00",$215.61,$425.00,"7,744",968,8,0,100.00%,0.00%,Comedy,0,0,Winter,1
Aladdin,2025-01-12,New Amsterdam Theatre,"$1,147,872.00",,"-$847,372.20",$89.02,$215.50,"12,895","1,727",8,0,93.33%,-5.41%,Original,23,1,Winter,1
A Wonderful World: The Louis Armstrong Musical,2025-01-12,Studio 54,"$503,502.50",,"$3,305.00",$96.70,$287.00,"5,207",997,8,0,65.28%,-0.02%,Original,4,1,Winter,1
& Juliet,2025-01-12,Stephen Sondheim Theatre,"$922,611.60",,"-$354,030.20",$123.24,$378.00,"7,486","1,026",8,0,91.20%,-9.18%,Original,22,1,Winter,1
Wicked,2025-01-05,Gershwin Theatre,"$3,294,179.00",,"-$1,743,213.00",$213.80,$375.00,"15,408","1,926",8,0,100.00%,0.00%,Original,33,1,Winter,1
The Outsiders,2025-01-05,Bernard B. Jacobs Theatre,"$1,892,154.60",,"-$123,297.55",$225.58,$497.00,"8,388","1,024",8,0,102.39%,-0.14%,Original,31,1,Winter,1
The Lion King,2025-01-05,Minskoff Theatre,"$2,800,070.95",,"-$1,403,050.05",$207.97,$477.00,"13,464","1,696",8,0,99.23%,0.55%,Original,32,1,Winter,1
The Great Gatsby,2025-01-05,Broadway Theatre,"$1,889,677.48",,"-$728,681.38",$181.79,$474.00,"10,395","1,485",7,0,100.00%,0.85%,Original,7,1,Winter,1
